,degree min network-1,degree min network-50,degree min network-100,degree min network-250,degree max network-1,degree max network-50,degree max network-100,degree max network-250,degree av. network-1,degree av. network-50,degree av. network-100,degree av. network-250
2021-05-16,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.4583333333333333,1.25
2021-05-17,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.4583333333333333,1.25
2021-05-18,0,0,0,0,2,2,2,12,0.3333333333333333,0.4583333333333333,0.4583333333333333,1.25
2021-05-19,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.4583333333333333,1.25
2021-05-20,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.4583333333333333,1.25
2021-05-21,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.4583333333333333,1.25
2021-05-22,0,0,0,0,2,2,2,12,0.2916666666666667,0.4166666666666667,0.4583333333333333,1.25
2021-05-23,0,0,0,0,2,2,2,12,0.2916666666666667,0.4166666666666667,0.4583333333333333,1.25
2021-05-24,0,0,0,0,2,2,2,12,0.2916666666666667,0.4166666666666667,0.4583333333333333,1.25
2021-05-25,0,0,0,0,2,2,2,12,0.2916666666666667,0.4166666666666667,0.4583333333333333,1.25
2021-05-26,0,0,0,0,2,2,2,12,0.2916666666666667,0.4166666666666667,0.4583333333333333,1.25
2021-05-27,0,0,0,0,2,2,2,12,0.25,0.4166666666666667,0.4583333333333333,1.25
2021-05-28,0,0,0,0,2,2,2,12,0.375,0.4583333333333333,0.5,1.2916666666666667
2021-05-29,0,0,0,0,2,2,2,12,0.375,0.4583333333333333,0.5,1.2916666666666667
2021-05-30,0,0,0,0,2,2,2,12,0.3333333333333333,0.4583333333333333,0.5,1.2916666666666667
2021-05-31,0,0,0,0,2,2,2,12,0.3333333333333333,0.4583333333333333,0.5,1.2916666666666667
2021-06-01,0,0,0,0,2,2,2,12,0.3333333333333333,0.4583333333333333,0.5,1.25
2021-06-02,0,0,0,0,2,2,2,12,0.3333333333333333,0.4583333333333333,0.5,1.25
2021-06-03,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.5,1.25
2021-06-04,0,0,0,0,2,2,2,12,0.25,0.4583333333333333,0.5,1.25
2021-06-05,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.5,1.25
2021-06-06,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.5,1.25
2021-06-07,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.5,1.25
2021-06-08,0,0,0,0,2,2,2,12,0.2916666666666667,0.4583333333333333,0.5,1.25
2021-06-09,0,0,0,0,2,2,2,12,0.3333333333333333,0.5,0.5416666666666666,1.2916666666666667
