,jaccard index-1,jaccard index-50,jaccard index-100,jaccard index-250
2018-04-08,0.9130434782608695,0.5098039215686274,0.6142857142857143,0.4230769230769231
2018-04-09,1.0,0.52,0.6086956521739131,0.4230769230769231
2018-04-10,0.9545454545454546,0.52,0.5942028985507246,0.4230769230769231
2018-04-11,1.0,0.52,0.417910447761194,0.4230769230769231
2018-04-12,1.0,0.52,0.417910447761194,0.4230769230769231
2018-04-13,1.0,0.52,0.417910447761194,0.4230769230769231
2018-04-14,0.9130434782608695,0.5306122448979592,0.40298507462686567,0.4263565891472868
2018-04-15,0.9545454545454546,0.5416666666666666,0.3880597014925373,0.41732283464566927
2018-04-16,1.0,0.5416666666666666,0.3880597014925373,0.4094488188976378
2018-04-17,1.0,0.5416666666666666,0.3880597014925373,0.4094488188976378
2018-04-18,0.9523809523809523,0.5416666666666666,0.3939393939393939,0.4094488188976378
2018-04-19,0.9090909090909091,0.5306122448979592,0.3880597014925373,0.40625
2018-04-20,0.9565217391304348,0.5510204081632653,0.3880597014925373,0.40625
2018-04-21,0.8333333333333334,0.5510204081632653,0.40298507462686567,0.40625
2018-04-22,0.9523809523809523,0.5510204081632653,0.40298507462686567,0.40625
2018-04-23,1.0,0.5510204081632653,0.417910447761194,0.40625
2018-04-24,0.9090909090909091,0.54,0.4393939393939394,0.40625
2018-04-25,1.0,0.54,0.4393939393939394,0.40625
2018-04-26,0.875,0.5294117647058824,0.45454545454545453,0.40625
2018-04-27,0.9583333333333334,0.5192307692307693,0.44776119402985076,0.40310077519379844
2018-04-28,0.92,0.5094339622641509,0.45588235294117646,0.4108527131782946
2018-04-29,0.9583333333333334,0.49056603773584906,0.45588235294117646,0.4140625
2018-04-30,1.0,0.49056603773584906,0.45588235294117646,0.40625
2018-05-01,0.9583333333333334,0.49056603773584906,0.45588235294117646,0.40625
2018-05-02,0.9166666666666666,0.49056603773584906,0.45588235294117646,0.40625
2018-05-03,0.9166666666666666,0.48148148148148145,0.4492753623188406,0.4140625
2018-05-04,0.9230769230769231,0.5,0.4492753623188406,0.4140625
2018-05-05,0.9285714285714286,0.5,0.4492753623188406,0.41732283464566927
2018-05-06,0.9285714285714286,0.5,0.4492753623188406,0.42063492063492064
2018-05-07,1.0,0.5,0.4492753623188406,0.42063492063492064
2018-05-08,1.0,0.5,0.4492753623188406,0.4274193548387097
2018-05-09,0.9259259259259259,0.5,0.45588235294117646,0.4274193548387097
2018-05-10,0.9615384615384616,0.5,0.45588235294117646,0.4274193548387097
2018-05-11,0.96,0.5,0.47058823529411764,0.4274193548387097
2018-05-12,0.96,0.5294117647058824,0.45588235294117646,0.4274193548387097
2018-05-13,0.96,0.54,0.4411764705882353,0.4274193548387097
2018-05-14,1.0,0.54,0.4411764705882353,0.43089430894308944
2018-05-15,0.96,0.54,0.4411764705882353,0.4380165289256198
2018-05-16,1.0,0.54,0.4411764705882353,0.4380165289256198
2018-05-17,0.631578947368421,0.6792452830188679,0.4225352112676056,0.43902439024390244
2018-05-18,1.0,0.6792452830188679,0.4225352112676056,0.43902439024390244
2018-05-19,0.6052631578947368,0.6792452830188679,0.46875,0.43902439024390244
2018-05-20,1.0,0.6792452830188679,0.47619047619047616,0.45081967213114754
2018-05-21,1.0,0.6792452830188679,0.47619047619047616,0.45081967213114754
2018-05-22,1.0,0.6792452830188679,0.47619047619047616,0.45081967213114754
2018-05-23,0.8214285714285714,0.6666666666666666,0.46875,0.44715447154471544
2018-05-24,0.9629629629629629,0.6851851851851852,0.46875,0.44715447154471544
2018-05-25,0.8518518518518519,0.6666666666666666,0.46875,0.44715447154471544
2018-05-26,0.9230769230769231,0.6481481481481481,0.46875,0.44715447154471544
2018-05-27,0.9615384615384616,0.6481481481481481,0.671875,0.44715447154471544
2018-05-28,1.0,0.49019607843137253,0.6349206349206349,0.43902439024390244
2018-05-29,1.0,0.49019607843137253,0.6349206349206349,0.43089430894308944
2018-05-30,1.0,0.49019607843137253,0.6349206349206349,0.43902439024390244
2018-05-31,0.8888888888888888,0.4807692307692308,0.625,0.41935483870967744
2018-06-01,0.9615384615384616,0.4807692307692308,0.625,0.42276422764227645
2018-06-02,0.8846153846153846,0.46153846153846156,0.625,0.42276422764227645
2018-06-03,0.9583333333333334,0.46153846153846156,0.625,0.42276422764227645
2018-06-04,1.0,0.46153846153846156,0.625,0.42276422764227645
2018-06-05,0.92,0.46153846153846156,0.625,0.42276422764227645
2018-06-06,0.92,0.46153846153846156,0.625,0.43902439024390244
2018-06-07,0.9166666666666666,0.4528301886792453,0.6153846153846154,0.46774193548387094
2018-06-08,0.8214285714285714,0.44642857142857145,0.5882352941176471,0.4603174603174603
2018-06-09,0.9310344827586207,0.42105263157894735,0.5942028985507246,0.4566929133858268
2018-06-10,0.9285714285714286,0.42105263157894735,0.5942028985507246,0.4645669291338583
2018-06-11,1.0,0.42105263157894735,0.5942028985507246,0.4645669291338583
2018-06-12,1.0,0.42105263157894735,0.6029411764705882,0.4645669291338583
2018-06-13,1.0,0.43859649122807015,0.6029411764705882,0.4566929133858268
2018-06-14,1.0,0.43859649122807015,0.6029411764705882,0.4566929133858268
2018-06-15,0.9629629629629629,0.4482758620689655,0.5942028985507246,0.453125
2018-06-16,1.0,0.46551724137931033,0.5942028985507246,0.453125
2018-06-17,1.0,0.4827586206896552,0.6119402985074627,0.453125
2018-06-18,1.0,0.49122807017543857,0.5970149253731343,0.4566929133858268
2018-06-19,0.9642857142857143,0.4827586206896552,0.5882352941176471,0.453125
2018-06-20,0.9333333333333333,0.4745762711864407,0.5797101449275363,0.4609375
2018-06-21,0.967741935483871,0.4745762711864407,0.5797101449275363,0.4609375
2018-06-22,1.0,0.4915254237288136,0.5797101449275363,0.4645669291338583
