,jaccard index-1,jaccard index-50,jaccard index-100,jaccard index-250
2016-08-24,0.9666666666666667,0.701271186440678,0.4787018255578093,
2016-08-25,0.9668874172185431,0.701271186440678,0.4777327935222672,
2016-08-26,0.9421221864951769,0.7085106382978723,0.4737903225806452,
2016-08-27,0.9806451612903225,0.7191489361702128,0.47283702213279677,
2016-08-28,0.9772727272727273,0.7297872340425532,0.48893360160965793,
2016-08-29,0.9933554817275747,0.7313432835820896,0.4909456740442656,
2016-08-30,0.980327868852459,0.7297872340425532,0.4899598393574297,
2016-08-31,0.974025974025974,0.7282377919320594,0.4919678714859438,
2016-09-01,0.9772727272727273,0.7261146496815286,0.5150300601202404,
2016-09-02,0.9647435897435898,0.7228144989339019,0.5210420841683366,
2016-09-03,0.9712460063897763,0.720682302771855,0.53,
2016-09-04,0.9838709677419355,0.7323340471092077,0.54,
2016-09-05,0.9934426229508196,0.7323340471092077,0.55,
2016-09-06,0.9774193548387097,0.7313432835820896,0.547808764940239,
2016-09-07,0.9742765273311897,0.7313432835820896,0.547808764940239,
2016-09-08,0.9739413680781759,0.7371794871794872,0.5496031746031746,
2016-09-09,0.9509803921568627,0.7393162393162394,0.5612648221343873,
2016-09-10,0.9732441471571907,0.740343347639485,0.5869565217391305,
2016-09-11,0.9966101694915255,0.7397849462365591,0.5889328063241107,
2016-09-12,0.9931972789115646,0.7429805615550756,0.5968379446640316,
2016-09-13,0.9864864864864865,0.7451403887688985,0.5968379446640316,
2016-09-14,0.9800664451827242,0.7521551724137931,0.5956607495069034,
2016-09-15,0.976897689768977,0.755939524838013,0.5976331360946746,0.0039447731755424065
2016-09-16,0.9704918032786886,0.755939524838013,0.6035502958579881,0.0039447731755424065
2016-09-17,0.9707792207792207,0.7591397849462366,0.6070726915520629,0.003929273084479371
2016-09-18,0.9836065573770492,0.7607758620689655,0.6149312377210217,0.003929273084479371
2016-09-19,0.9933333333333333,0.7607758620689655,0.6168958742632613,0.003929273084479371
2016-09-20,0.9802631578947368,0.7612903225806451,0.615686274509804,0.00392156862745098
2016-09-21,0.9739413680781759,0.7537473233404711,0.6164383561643836,0.003913894324853229
