report_agent_lei,powerlaw alpha,powerlaw p-value
3405 var over tot. assets,3.081843012449701,0.22396099015283177
697 var over tot. assets,2.816202284691288,0.04704404398144997
989 var over tot. assets,3.0624848188983074,0.0695056670310486
2964 var over tot. assets,2.283171112221556,3.406701087430699e-11
1233 var over tot. assets,3.0098081882832783,0.39712159324786345
14431 var over tot. assets,3.136214447913143,0.26525567819407003
9122 var over tot. assets,1.7191490483729126,0.000693894133750811
9883 var over tot. assets,9.412103740299154,0.004353830262505912
4260 var over tot. assets,4.798378308033706,0.9994107778515554
6855 var over tot. assets,3.121652404881907,4.947356214912594e-05
8198 var over tot. assets,2.7833435952681587,0.6834843044067827
14619 var over tot. assets,,
9033 var over tot. assets,,
