report_agent_lei,total assets,cash,loans,own funds,deposits,securities collateral FINREP,securities collateral SHSG (nominal value),securities collateral SHSG (market value),cash over total assets,loans over total assets,own funds over total assets,deposits over total assets,securities collateral FINREP over total assets,securities collateral SHSG (nominal value) over total assets,securities collateral SHSG (market value) over total assets
1246,326358830017.27,18448405192.06,20626574418.72,3646266910.0,202034173303.18002,2407429274.74,0.0,0.0,0.05652797931370131,0.06320213373000663,0.01117257011188283,0.6190553302709442,0.007376632875576264,0.0,0.0
8154,110837746977.44,10017850994.62,1426191843.0700002,3018224530.0,60694504640.17,1127590314.32,0.0,0.0,0.09038302625060614,0.012867383918948554,0.027231016619404323,0.5475977841062016,0.010173342070454667,0.0,0.0
12872,22075453951.12,616441060.76,837379094.35,91423896.95,14465058255.5,1617055005.8,0.0,0.0,0.027924275628711356,0.03793258776033077,0.004141427721143719,0.6552553024517132,0.07325126855286972,0.0,0.0
8064,5182759000.0,1036298000.0,0.0,42541000.0,4222182000.0,0.0,0.0,0.0,0.19995102994370373,0.0,0.008208176378643113,0.8146591419743808,0.0,0.0,0.0
13112,8947100880.54,1946407195.43,364732.26,85000000.0,6766703152.61,199427283.77,0.0,0.0,0.21754613269907883,4.076541271522879e-05,0.009500284073567955,0.7563012022506218,0.022289598209824096,0.0,0.0
5662,255985373.0,61944811.0,0.0,25000703.0,226597551.0,0.0,0.0,0.0,0.24198574424016017,0.0,0.09766457632717944,0.8851972608606821,0.0,0.0,0.0
13826,192244866.0,136075895.0,0.0,18500000.0,171540835.0,0.0,0.0,0.0,0.7078258984559826,0.0,0.09623143850301834,0.8923038548139954,0.0,0.0,0.0
1223,555691360.0,84128989.0,0.0,23356005.0,457922698.0,0.0,0.0,0.0,0.15139517195300642,0.0,0.0420305347198488,0.8240594167237008,0.0,0.0,0.0
4403,1252213859000.0,59226410000.0,42151096000.0,6292207000.0,786168708000.0,41620953000.0,3.1695240044823687,3.57923755969227,0.047297360250666255,0.03366125977367896,0.0050248661239262,0.6278230370552064,0.033237895189275335,2.5311363404119366e-12,2.8583277001506736e-12
10508,161039846000.0,2333277000.0,0.0,503058000.0,121846013000.0,489900000.0,0.0,0.0,0.014488817879271941,0.0,0.0031238107368781265,0.7566202776920191,0.0030421042503977554,0.0,0.0
1786,56568560700.45,876255552.4,2511708491.66,269659846.2,39195956649.579994,2267474311.89,0.0,0.0,0.015490151093645016,0.044401138380740515,0.00476695611238797,0.6928929455556785,0.04008364865242121,0.0,0.0
7166,637571730000.0,28504519000.0,145300000.0,3023956000.0,425163830000.0,27209597000.0,7.106180053218483,7.993559561682573,0.04470794054811684,0.00022789592631404783,0.00474292672920112,0.6668486226639943,0.042676918877817875,1.1145695015709814e-11,1.2537506268796724e-11
11243,20036133035.74,1883128002.79,0.0,91009249.7,18583082874.57,2872839208.91,0.0,0.0,0.09398659908231388,0.0,0.0045422562097017305,0.9274785130155563,0.14338291744147905,0.0,0.0
