,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
18,0,1,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,3,0,0,8,0,0,1,0,1,0,0,0,1,2,1
19,0,1,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,3,0,0,8,0,0,1,0,1,0,0,0,1,2,1
20,0,1,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,3,0,0,8,0,0,1,0,1,0,0,0,1,2,1
21,1,1,0,0,0,1,0,1,0,0,0,2,2,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,3,0,0,8,0,0,1,0,1,0,0,0,1,2,1
22,1,1,0,0,0,1,0,1,0,0,0,2,2,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,8,0,0,1,0,1,0,0,0,1,2,1
23,1,1,0,1,0,1,0,1,1,0,0,2,2,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,1,2,1
24,1,1,0,1,0,2,0,1,1,1,0,3,2,4,0,0,0,3,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,1,1,0,0,0,1,2,1
25,1,1,0,1,0,2,0,1,1,1,0,3,2,4,0,0,0,3,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,1,1,0,0,0,1,2,1
26,1,1,0,1,0,1,0,1,1,0,0,2,2,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,1,2,1
27,1,1,0,1,0,1,0,1,1,0,0,2,2,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,1,2,1
28,2,1,0,1,0,1,2,1,1,0,0,3,2,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,2,2,1
29,2,1,0,0,0,1,2,1,0,1,1,3,2,2,0,0,0,5,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,2,2,1
30,1,1,0,0,0,1,0,1,0,1,1,3,2,2,0,0,0,5,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,1,2,1
31,1,1,0,0,0,1,0,1,0,0,0,3,2,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,1,2,1
32,1,1,0,0,0,2,0,1,0,0,0,3,2,2,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,1,2,1
33,1,1,0,0,0,2,0,1,0,0,0,3,2,2,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,1,2,1
34,1,1,0,0,0,2,0,1,0,0,0,3,2,2,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,0,0,0,1,2,1
35,1,1,0,0,0,2,2,1,0,0,0,3,2,2,0,0,0,4,0,1,0,2,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,1,0,0,1,2,1
36,1,1,0,0,0,2,2,1,0,0,0,3,2,2,0,0,0,4,0,1,0,2,0,0,1,0,0,0,0,3,0,0,0,2,0,1,9,0,0,1,0,1,1,0,0,1,2,1
37,1,1,0,0,0,2,2,1,0,0,3,2,2,2,0,0,0,3,0,2,0,2,0,1,1,0,0,0,0,3,0,0,0,2,0,2,9,0,0,2,0,1,2,0,0,2,2,2
38,1,1,0,0,0,2,2,1,0,0,3,2,2,2,0,0,0,4,1,2,0,2,0,1,1,0,0,0,0,3,0,0,0,2,0,2,9,0,0,2,0,1,3,0,0,2,4,5
39,0,1,0,0,0,2,2,1,0,0,3,1,2,2,0,0,0,4,1,2,0,2,0,1,1,0,0,0,0,3,0,0,0,2,0,2,9,0,0,2,0,1,3,0,0,2,4,5
40,0,1,0,0,0,2,2,1,0,0,3,1,2,2,0,0,0,3,1,1,0,2,0,1,1,0,0,0,0,2,0,0,0,1,0,1,9,0,0,2,0,1,2,0,0,1,3,5
41,0,1,0,0,0,2,2,1,0,0,3,1,2,2,0,0,0,3,1,1,0,2,0,1,1,0,0,0,0,2,0,0,0,1,0,1,9,0,0,2,0,1,2,0,0,1,3,5
42,0,1,0,0,0,2,2,1,0,0,3,2,2,2,0,0,0,4,1,1,0,2,0,1,1,0,0,0,0,3,0,0,0,1,0,1,9,0,0,3,0,1,2,0,0,1,3,5
43,0,0,0,0,0,2,2,1,0,0,3,3,2,2,0,0,0,4,1,1,0,2,0,2,1,0,0,0,0,3,0,0,0,1,0,1,8,0,0,3,0,1,2,0,0,1,3,5
44,1,0,0,0,0,1,2,1,0,0,3,4,2,2,0,0,0,4,1,1,0,1,0,2,1,0,0,0,0,3,0,0,0,1,0,1,8,0,0,3,0,1,2,0,0,1,3,5
45,1,0,0,0,0,1,2,1,0,0,3,4,2,2,0,0,0,5,1,1,0,2,0,3,1,0,0,0,0,3,0,0,0,1,0,1,8,0,0,3,3,1,2,0,0,1,3,5
46,1,2,0,0,0,1,2,1,0,0,2,5,2,2,0,0,0,5,1,1,0,2,0,4,1,0,0,0,0,3,0,0,0,1,0,1,8,0,0,3,3,1,1,0,0,1,3,3
47,1,2,0,0,0,1,2,1,0,0,2,4,2,2,0,0,0,3,1,1,0,1,0,3,1,0,0,0,0,3,0,0,0,1,0,1,8,0,0,3,0,1,1,0,0,1,3,3
48,1,2,0,0,0,1,2,1,0,0,2,4,2,2,0,0,0,3,1,1,0,1,0,3,1,0,0,0,0,3,0,0,0,1,0,1,8,0,0,3,0,1,1,0,0,1,3,3
49,1,2,0,0,0,1,2,1,0,0,2,4,2,2,0,0,0,3,1,1,0,1,0,3,1,0,0,0,0,3,0,0,0,1,0,1,8,0,0,3,0,1,1,0,0,1,3,3
50,1,2,0,0,0,1,2,1,0,0,2,4,2,2,0,0,0,3,1,1,0,1,0,3,1,0,0,0,0,3,0,0,0,1,0,1,8,0,0,3,0,1,1,0,0,1,3,3
