,repo transactions maturity av. network,repo transactions notional av. network,number repo transactions av. network
2016-11-27,,21064743.082540575,1602.0
2016-11-28,9.40024143914589,9181210.438688846,1022.0
2016-11-29,,13326273.793406796,1089.0
2016-11-30,,9156587.473460076,1052.0
2016-12-01,18.535586032588988,9091575.322357345,1069.0
2016-12-02,6.540197820529986,7066970.578728261,920.0
2016-12-03,,4696273.677088524,1525.0
2016-12-04,,4070805.4273855756,1442.0
2016-12-05,,11539650.2710549,929.0
2016-12-06,16.234472501372387,12770690.151548529,917.0
2016-12-07,,8751035.403577235,984.0
2016-12-08,8.38769718272908,14509139.37312321,1047.0
2016-12-09,2.9700342222202902,11016660.179904927,1157.0
2016-12-10,,12243466.866981464,1133.0
2016-12-11,,16590730.762369039,1279.0
2016-12-12,,8741244.377286615,1113.0
2016-12-13,,9601684.057782609,1150.0
2016-12-14,8.248796504111539,10537017.32925479,1409.0
2016-12-15,,11098754.867967952,1373.0
2016-12-16,,9159217.187758131,1414.0
2016-12-17,,8179180.0224277815,1627.0
2016-12-18,,7092974.324910769,1625.0
2016-12-19,,7272538.46511309,1459.0
2016-12-20,,9335723.004182182,1504.0
2016-12-21,,8789446.802811615,1412.0
2016-12-22,,9285416.986598501,1467.0
2016-12-23,,7771170.526342975,1452.0
2016-12-24,,8103340.227315203,1434.0
2016-12-25,,6628303.132038303,1462.0
2016-12-26,,8675553.62632258,1550.0
2016-12-27,,9883752.169421053,1520.0
2016-12-28,9.025612104886013,9690645.802509481,1582.0
2016-12-29,,11309315.44306765,1493.0
2016-12-30,4.244161536435037,10138277.774250805,1555.0
2016-12-31,10.008446005456696,11095831.845673492,1611.0
2017-01-01,,8482247.55836035,1604.0
2017-01-02,,7942500.712291399,1558.0
2017-01-03,5.292482123499392,8847766.907359589,1549.0
2017-01-04,5.744026453295577,8103321.829777623,1439.0
2017-01-05,,7655996.546677719,1508.0
2017-01-06,,6814903.275108468,1429.0
2017-01-07,14.145370093957098,8203082.867612712,1353.0
2017-01-08,8.026559300273325,6909591.291117129,1477.0
2017-01-09,,6750251.6471546395,1455.0
2017-01-10,,9201519.797532005,1406.0
2017-01-11,10.77416864452577,8868468.550364656,1426.0
2017-01-12,12.526180107522297,11233770.017518848,1459.0
2017-01-13,7.226149999161144,9957520.53368736,1337.0
2017-01-14,,8896821.202809429,1527.0
2017-01-15,7.503479127193208,9060523.886552181,1514.0
2017-01-16,13.859601495244883,9928735.928791722,1498.0
2017-01-17,,8261506.746373762,1616.0
2017-01-18,14.685301895078526,10304914.664627373,1476.0
2017-01-19,14.572708848248627,10782413.103605486,1531.0
